brand,band,current_tech,synth_dial,tech_note,names_technology,origin,marks,evidence_source,site_domain,platform,fibre_synthetic_pct,fibre_styles
Levi's,premium,1,2,,yes,both,Thermodapt; All Seasons Tech; Performance Cool; Levi's Flex; Levi's Ease; Levi's Sculpt; Levi's Stellar Stretch; Levi's Vintage Stretch; Tech+; Eco Ease; Levi's Flex Eco Performance; Shrink-to-Fit; Sta-Prest; Water<Less; LYCRA; TENCEL; Advanced Stretch; Comfort Stretch; Authentic Soft,census,levi.com,custom,7,365
Carhartt,premium,2,1,,yes,house,Rain Defender; Storm Defender; Super Dux; Rugged Flex; Full Swing; Yukon Extremes; Wind Fighter,screen_36,carhartt.com,custom,27,361
Lacoste,premium,2,2,,yes,both,Ultra Dry (house); Thermore Ecodown (licensed); COOLMAX (licensed); technical fabric; water-repellent; waterproof; ripstop,census,lacoste.com,salesforce_commerce,28,894
Mack Weldon,premium,4,4,,yes,licensed,18-Hour Jersey; ACE; AIRKNITx; Ionic+; SILVER; Thermolite; WARMKNIT,origin_8,mackweldon.com,shopify,33,232
Charles Tyrwhitt,premium,2,2,,yes,both,Non-Iron (house treatment); Ultimate Performance (house line); Reda (licensed Italian wool mill); Egyptian Cotton; stretch cotton weave; stain resistant; water-repellent,census,charlestyrwhitt.com,salesforce_commerce,2,473
Son of a Tailor,premium,4,1,algorithmic made-to-order patterns; zero inventory by design,yes,licensed,"Supima (licensed, in marketing copy); TENCEL (licensed, named in editorial); Cotton Re:Spun (house recycled-cotton program)",census,sonofatailor.com,custom,0,49
Mott & Bow,premium,2,1,,yes,both,"64 house fabric names in a fabric_ filter facet incl. Mercer, Driggs, Marcy, Charles, Hubert, Tabor, Ridge, Pitkin, Wooster, Soft Second Skin; TENCEL (licensed); water-repellent",census,mottandbow.com,shopify,6,95
J.Crew,premium,1,1,,yes,both,Loro Piana (LICENSED); PrimaLoft; COOLMAX; ECONYL; TENCEL; LYCRA; Thomas Mason; Baird McNutt Irish Linen; Secret Wash (house); Seaboard soft knit (house); Broken-in (house),census,jcrew.com,custom,3,492
Banana Republic,premium,1,2,,yes,both,"Core Temp; 37.5 Technology; Supima; TENCEL/Lyocell; LENZING ECOVERO; Lycra; Cupro; ""Italian Wool Ventile""",census,bananarepublic.gap.com,custom,3,378
Everlane,premium,1,2,,yes,unclear,primaloft; coolmax,flag_sample,everlane.com,shopify,4,358
Alex Crane,premium,1,1,,yes,licensed,Bananatex,census,alexcrane.co,shopify,0,51
Industry of All Nations,premium,1,1,,no,none,,census,industryofallnations.com,shopify,0,99
Marine Layer,premium,1,2,,yes,both,Signature; Cloud 9; Flex Terry; Luxe Jersey; Stretch Selvage; Corbet (house). TENCEL/Lyocell; Supima; Lycra (licensed),census,marinelayer.com,shopify,20,318
Cuts Clothing,premium,4,4,,yes,both,PYCA Pro; Enduratech; Versaknit; Tomboy-Cotton (house). Polartec; PrimaLoft (licensed),census,cutsclothing.com,shopify,68,70
Bonobos,premium,2,2,,yes,licensed,Schoeller; COOLMAX; PrimaLoft; Thinsulate; Loro Piana; Marzotto; Cone Denim / White Oak; Horween; Sebago; Lycra; TENCEL/Lyocell; Sorona; Liberty Fabric,census,bonobos.com,custom,13,2821
Vuori,premium,5,5,,yes,house,BlissBlend; BlissBlend Form; BreatheInterlock; DreamKnit,origin_8,vuoriclothing.com,shopify,75,285
Rothy's,premium,4,5,,yes,house,ReVelvet(TM); EverDreamy Footbed(TM); In Love Insole(TM),census,rothys.com,shopify,0,0
Lululemon,premium,4,5,"trademarked textiles engineered internally; no mill named, but the lab is real",yes,both,ABC (Anti-Ball Crushing); Everlux; LYCRA; Luon; No-Stink Zinc; Nulu; SeaCell; Silverescent; Swift; Vitasea; Warpstreme; X-STATIC,origin_8,shop.lululemon.com,salesforce_commerce,70,784
Alo,premium,3,4,,yes,unclear,Airbrush (house); Airlift (house); Alosoft (house),flag_sample,aloyoga.com,shopify,36,196
Southern Tide,premium,2,3,,yes,both,Coastal Breeze; brrr°,screen_36,southerntide.com,shopify,41,459
Rhoback,premium,4,5,,yes,unclear,FreeStride (TM) - house/proprietary fabric mark,flag_sample,rhoback.com,shopify,78,148
Criquet,premium,1,2,,yes,licensed,brrr°,screen_36,criquetshirts.com,shopify,27,44
Taylor Stitch,premium,2,1,,yes,unclear,GORE-TEX; Polartec; Thinsulate; Cordura (Cone Mills Cordura denim); Schoeller; Dyneema,flag_sample,taylorstitch.com,shopify,2,105
Outerknown,premium,2,3,,no,none,,screen_36,outerknown.com,shopify,15,111
