brand,verdict,marks_found,origin,rough_count,evidence_url,searched,notes
Levi's,names_technology,Thermodapt; All Seasons Tech; Performance Cool; Levi's Flex; Levi's Ease; Levi's Sculpt; Levi's Stellar Stretch; Levi's Vintage Stretch; Tech+; Eco Ease; Levi's Flex Eco Performance; Shrink-to-Fit; Sta-Prest; Water<Less; LYCRA; TENCEL; Advanced Stretch; Comfort Stretch; Authentic Soft,both,"~210 of 1,674 US men's products (20/160 sampled PDPs carried a core mark, 12.5%); 4,351 US products in sitemap; 114 product sitemaps",https://www.levi.com/US/en_US/clothing/men/jeans/straight/501-original-thermodapt-mens-jeans/p/005013739,"Channel 1 not available (not Shopify; /products.json 404). Used sitemap census: /US/en_US/sitemap.xml -> 151 child maps -> 114 Product-en-US maps -> 4,351 product URLs; server-HTML grep of 200 sampled PDPs (150 men's + 50 other), then a 160-PDP men's recount. Also enumerated the 17,400-URL Facets sitemap and read the feature-apparel-features facet, which is Levi's own fabric/tech vocabulary. CONTROLS live: cotton 190/200, jean 200/200 pages. null: zzzqqxwv 0, qwzzxpfr 0. channel: composition present 200/200, '%' 200/200 -- descriptions and compositions ARE in server HTML but inside embedded JSON, not visible markup, so tag-stripped text would have produced a false zero.","House tech confirmed in body copy: 'These jeans are designed with Thermodapt, our all seasons technology. This innovative hollow-core cotton yarn is breathable, cooling, and moisture-wicking when it's hot out and insulating when it's cold.' LYCRA and TENCEL are composition_only (fibre brands in the composition/fabric line). Shrink-to-Fit(TM) and Sta-Prest(R) carry TM/R in the facet taxonomy. Water<Less is a process/finish mark, not a fabric. Rendered DOM on PDPs failed (bot defense / SSR error banner); the server-HTML channel worked and is what was used."
Lacoste,names_technology,Ultra Dry (house); Thermore Ecodown (licensed); COOLMAX (licensed); technical fabric; water-repellent; waterproof; ripstop,both,"~490 of 3,385 US men's products (26/180 sampled men's PDPs carried a core mark, 14%); Ultra Dry alone on ~8% (~260); 7,258 US products in sitemap",https://www.lacoste.com/us/lacoste/men/clothing/jackets-coats/BH8693-51-HDE.html,"Channel 1 not available (not Shopify). Used sitemap census: /us/sitemap_index.xml -> sitemap_0-product.xml = 7,258 US product URLs (3,385 men's); server-HTML grep of 210 sampled PDPs (180 men's + 30 other), then a 180-PDP men's recount. CONTROLS live: cotton 210/210, polo 210/210 pages. null: zzzqqxwv 0, qwzzxpfr 0. channel: composition 208/210, '%' 210/210 -- descriptions and compositions present in server HTML.","Thermore hit is real, not the 'furthermore' false positive -- word-boundary match, body copy reads 'High performance Thermore(R) Ecodown filling in recycled polyester that reduces the use of virgin materials'. COOLMAX found on a sneaker: 'an engineered Pique-weave upper and Coolmax lining offer breathability'. Ultra Dry is Lacoste's own moisture-management line (spelled Ultra Dry / Ultra-Dry / UltraDry across the catalogue; all three spellings counted). lacoste.com is single-brand, so no multi-brand separation was needed. 'Novak/Djokovic' (1,086 hits) is global nav, not a fabric -- excluded as an athlete/capsule name."
Charles Tyrwhitt,names_technology,Non-Iron (house treatment); Ultimate Performance (house line); Reda (licensed Italian wool mill); Egyptian Cotton; stretch cotton weave; stain resistant; water-repellent,both,"299 of 3,245 US product URLs are non-iron by slug; 117 are Ultimate Performance; Egyptian Cotton is a top-level shirt category",https://www.charlestyrwhitt.com/us/editorial-style-tips/tyrwhitt-shirt-technology.html,"ctshirts.com 301s to charlestyrwhitt.com/us -- noted, not treated as a dead domain. Channel 1 not available (not Shopify). Used sitemap census: /us/sitemap_index.xml -> sitemap_0-product.xml = 3,245 US product URLs, plus category/content/facet maps; server-HTML grep of 200 sampled PDPs (110 shirts + 90 other); slug-level grep of all 3,245 URLs; then rendered-DOM reads of the two editorial pages. CONTROLS live: cotton 200/200, shirt 200/200, fabric 200/200 pages. null: zzzqqxwv 0, qwzzxpfr 0. channel: PARTIAL -- meta description 200/200 and composition '%' 182/200 are in server HTML, but PDP and editorial BODY copy is client-rendered and absent from server HTML, so the server-HTML zero for body-level marks would have been false. Switched to rendered DOM for the technology and Reda pages to confirm.","Own technology page exists at /us/editorial-style-tips/tyrwhitt-shirt-technology.html: 'we do have state-of-the-art fabrics and garment tech... From non-iron finishes to stretchier weaves'. Reda is a third-party mill CT names on its own site -- 'We've collaborated with world-renowned wool mill, Reda, based in beautiful Piedmont' (https://www.charlestyrwhitt.com/us/reda.html) -- so origin is both, not house-only. Egyptian Cotton is an origin designation with its own editorial page and shop category, recorded but weaker than a trademark. Ultimate Performance is a suit line, judged a fabric/performance name (not a fit) because it is a nav facet spanning sharkskin, herringbone and check cloths. None of the licensed synthetics on the term list (Gore-Tex, Coolmax, Teflon, Supima, Lycra) appear anywhere."
Son of a Tailor,names_technology,"Supima (licensed, in marketing copy); TENCEL (licensed, named in editorial); Cotton Re:Spun (house recycled-cotton program)",licensed,"124 sitemap pages, Supima on 124/124 (site-wide schema) and in PDP body copy for every cotton style; TENCEL in 49/124 pages; ~60 configurator products",https://www.sonofatailor.com/product/cotton-t-shirt/1-1-3-9-1,"Channel 1 not available (/products.json 404, not Shopify). Used /sitemap.xml = 124 URLs (7 category + 117 editorial), full census of all 124 via server-HTML grep, then rendered DOM for one PDP and the t-shirt category. CONTROLS live: cotton 124/124, shirt 124/124 pages. null: zzzqqxwv 0, qwzzxpfr 0. channel: PARTIAL on server HTML -- category/PDP HTML is a Next.js shell with no product descriptions or /product/ links (0 product links found in server HTML); product copy only exists in the rendered DOM, so the server-HTML channel alone would have undercounted. Confirmed in rendered DOM.","PDP body copy (not just a composition line): 'Made from 100% Supima cotton... Its extra-long staples have earned Supima a reputation as the world's best-quality cotton', and a headed section 'SUPIMA PRECISION'. So Supima is NOT composition_only here. TENCEL appears in editorial as the trade name behind their Lyocell: 'Originally introduced under the trade name TENCEL(TM), Lyocell has since become the industry-standard name'. No house technology mark found -- product names (Cotton, Wool, Lyocell, Pique, Linen, Silk, Extra Heavy) are generic fibre/weight descriptors, not coined names, which is why origin is licensed and not both. 'Cotton Re:Spun' is the one borderline house name (a recycled-cotton program with its own product and editorial page)."
Mott & Bow,names_technology,"64 house fabric names in a fabric_ filter facet incl. Mercer, Driggs, Marcy, Charles, Hubert, Tabor, Ridge, Pitkin, Wooster, Soft Second Skin; TENCEL (licensed); water-repellent",both,"1,013 of 1,513 products carry a house fabric_ name; TENCEL on 46 products; water-repellent in 5 product descriptions",https://www.mottandbow.com/products.json?limit=250,"Channel 1 (Shopify catalogue census): /products.json?limit=250 paged to exhaustion -- pages returned 250,250,250,250,250,250,13,0. Did NOT stop on the short 7th page; page 8 returned 0 and confirmed exhaustion. 1,513 products, 15.5MB JSON blob grepped on word boundaries. collections.json counts not used. CONTROLS live: cotton 1,661 hits, jean 651, shirt 61. null: zzzqqxwv 0, qwzzxpfr 0. channel: 1,156/1,513 products have a body_html over 60 chars, mean description 1,910 chars -- descriptions are present in the feed.","The fabric_ tag namespace is separate from the fit_ tag namespace (fit_Slim, fit_Crew, fit_Tapered...), which is how house FABRIC names were separated from fit and garment names. Confirmed in copy: 'Mercer is a soft twill denim. The fabric is breathable and has the perfect amount of stretch for all day wear.' Caution: some fabric_ values double as product names -- 'Driggs' is used as a tee name ('the Driggs combines luxurious comfort with a perfect, tailored fit') and 'Soft Second Skin' maps to the Second Skin product family, so the 64 figure is an upper bound on true fabric names. TENCEL is in marketing copy, not only composition: 'Pairing the lightest and softest linen... with the smoothness of TENCEL(TM)'."
J.Crew,names_technology,Loro Piana (LICENSED); PrimaLoft; COOLMAX; ECONYL; TENCEL; LYCRA; Thomas Mason; Baird McNutt Irish Linen; Secret Wash (house); Seaboard soft knit (house); Broken-in (house),both,"~74 of 778 US men's products (19/200 sampled men's PDPs carried a core mark, 9.5%); 3,642 US products in sitemap",https://www.jcrew.com/p/mens/categories/clothing/pajamas-and-loungewear/performance-crewneck-with-coolmaxreg-technology/CO221,"Channel 1 not available -- no Shopify feed (/products.json absent), as expected. Used the sitemap named in /robots.txt: /sitemap/sitemap-index.xml -> 4 custom-sitemap-N-Jcrew-US-product.xml maps -> 3,642 US product URLs (778 under /p/mens/). Server-HTML grep of 200 sampled men's PDPs, plus slug-level grep of all 3,642 URLs, plus a 200-PDP core-mark recount for the per-product rate. CONTROLS live: cotton 200/200, fabric 200/200 pages. null: zzzqqxwv 0, qwzzxpfr 0. channel: '%' 200/200 -- compositions and descriptions present in server HTML.","MULTI-BRAND SEPARATION: J.Crew stocks other labels, so every mark was traced back to its product URL. PrimaLoft and waterproof landed on '/shoes/boots/timberlandreg-waterproof-field-boots/CN926' -- a Timberland(R) product, NOT J.Crew technology, so PrimaLoft is recorded but should be discounted. COOLMAX, ECONYL, TENCEL, LYCRA, Loro Piana, Thomas Mason and Baird McNutt all sit on J.Crew-own items (e.g. 'Performance crewneck with COOLMAX(R) technology', '6-inch stretch swim trunk with ECONYL(R) nylon'). Loro Piana on J.Crew is LICENSED per the standing rule -- body copy: 'We cut this suit in four-seasons wool from Loro Piana (est. 1924), a legendary Italian mill'. Secret Wash and Seaboard are house fabric/finish names with their own shop categories (/clothing/shirts/secret-wash/, /clothing/shirts/seaboard/). Ludlow, Crosby and Bowery were EXCLUDED as fit/suit-model names, not fabrics. 'flex' scored 234,400 raw hits -- all CSS (display:flex); discarded as noise, a reminder that raw server-HTML greps need this check."
Banana Republic,names_technology,"Core Temp; 37.5 Technology; Supima; TENCEL/Lyocell; LENZING ECOVERO; Lycra; Cupro; ""Italian Wool Ventile""",both,"4 Core Temp PDPs (Slim Core Temp Pant, 4 colourways) all citing 37.5; 6 Ventile suit-pant PDPs; TENCEL 1566 / Lyocell 709 / ECOVERO 246 / Supima 400 raw term-hits across 3503 pages",https://bananarepublic.gap.com/browse/product.do?pid=648956002,"Catalogue census: bananarepublic.gap.com/robots.txt -> /native-sitemap.xml -> /native-product-sitemap.xml = 3503 product URLs; fetched all 3503 server-HTML PDPs (0 fail), grepped raw HTML on word boundaries. Controls — live: cotton 78403 hits, shirt 49100; null: zzzqqxwv 0 hits; channel: 3503/3503 pages carry a product description meta plus a composition line.","BRAND ISOLATION: Gap Inc. runs one platform but each banner is a separate host with its own robots.txt and its own native-sitemap.xml; every one of the 3503 <loc> values resolves to host bananarepublic.gap.com (gap.com / oldnavy.gap.com / athleta.gap.com were never fetched). Men's within BR enumerated from /native-category-sitemap.xml (68 men's category URLs under /browse/men/...); Core Temp and the Ventile suit pant are both men's. HOUSE mark is Core Temp — BR's own copy reads ""our best-selling Core Temp fabric uses 37.5 Technology"", and it has its own landing page /shop/core-temp-pants-0abz03a. 37.5 (Cocona) is therefore LICENSED. THIRD-PARTY BRANDS STOCKED AT BR EXCLUDED: PrimaLoft Gold hit was on ""Boda Leather Mittens by Hestra""; other excluded vendor products by Le Specs and retromarine. Supima/TENCEL/Lyocell/ECOVERO/Lycra/Cupro are composition_only. EXCLUDED as a product-line not a fabric: ""Traveler"" (7187 raw hits) — its own PDP copy says ""Our Luxe Traveler Jean has an extra-fine weave"", never ""Traveler fabric""."
Alex Crane,names_technology,Bananatex,licensed,2 products (Rama Swim Trunks - 2 colourways) out of 315,https://alexcrane.co/products/rama-swim-trunks-night,"Catalogue census: Shopify /products.json?limit=250 paged to exhaustion — page1 250, page2 65, pages 3-4 empty (did not stop on the short page), 315 products total; grepped the raw JSON incl. body_html/tags/options. Plus /sitemap.xml -> /pages/materials and /pages/sustainability. Controls — live: cotton 443 hits; null: zzzqqxwv 0 hits; channel: body_html descriptions present throughout the feed.","Licensed third-party mark: Bananatex (QWSTION), described in Alex Crane's own copy as ""the world's first 100% plastic-free technical fabric"" — that is also the only source of the ""technical fabric"" hit (2). No house technology name: the Materials nav lists European Linen, Knit Linen, Organic Cotton, Crepe Cotton, Air Cotton, Banana Plant, and the material-- tag facet is all generic fibre/weave descriptors (slub cotton, air cotton, cotton ripstop, corozo, merino). No other registered/TM mark anywhere in the catalogue."
Industry of All Nations,none,,none,0 of 146,https://industryofallnations.com/pages/materials,"Catalogue census: Shopify /products.json?limit=250 paged to exhaustion — 146 products over 2 pages, then 2 consecutive empty pages; grepped raw JSON incl. body_html and tags. Plus /sitemap.xml -> /pages/materials, /pages/sustainability, /collections/original-technology-natural-indigo. Controls — live: cotton 763 hits, jacket 360; null: zzzqqxwv 0 hits; channel: 144/146 products carry a body_html description.","A genuine zero, as expected for a natural-fibre house. Not one registered or TM symbol appears anywhere in the catalogue. The Materials nav is all fibre/process descriptors: Undyed, Natural Dyes, Alpaca Fibers, Wild Cotton, Recycled Fibers, Organic Cotton, Veg-Tanned Leather. JUDGEMENT: ""Original Technology: The Art of Indigo"" (/collections/original-technology-natural-indigo) is a COLLECTION TITLE about a natural dyeing craft, not a fabric or a named technology — it names no material and is attached to no composition, so it is not recorded as a mark."
Marine Layer,names_technology,Signature; Cloud 9; Flex Terry; Luxe Jersey; Stretch Selvage; Corbet (house). TENCEL/Lyocell; Supima; Lycra (licensed),both,"House names in 1238 men's SKUs / 408 unique men's styles: Cloud 9 99, Signature 68, Stretch Selvage 56, Corbet 41, Flex Terry 26, Luxe Jersey 23, Saturday Twill 15. Licensed: TENCEL 492 term-hits, Supima 11, Lycra 9",https://www.marinelayer.com/products/classic-stretch-selvage-shirt-67,"Channel 1 (Shopify /products.json?limit=250, paged to exhaustion: 2612 products over 12 pages) FAILED the channel control — only 6 of 2612 products have body_html, so compositions and descriptions are absent from the feed. Switched to channel 2, per-PDP server-HTML fetches of the whole men's category: men's isolated by product_type prefix ""Mens - ...""/""Mens : ..."" (1238 SKUs), deduped to 408 unique titles, all 408 fetched (0 fail). Controls on the PDP channel — live: cotton 2054 hits, jacket 3417; null: zzzqqxwv 0 hits; channel: 408/408 PDPs carry a Details description and a composition line.","The descriptions sit in a collapsed ""Details"" accordion (div class=ac-panel) and are invisible to rendered-text extraction — the spec's accordion warning applies exactly here. JUDGEMENT — these are FABRICS not garment/fit names, on Marine Layer's own wording: ""Meet our Stretch Selvage fabric.""; ""These cords are made of our signature Flex Terry fabric: custom-developed...""; ""Introducing Luxe Jersey: our latest absurdly soft fabric made from 100% organic cotton.""; ""this Corbet fabric is perfectly midweight""; ""our absurdly soft Cloud 9 Terry"". EXCLUDED as style names occupying the same title slot: Pacifica, Saturday, and the first-name styles (Riley, Rowan, Hayes, Pablo, Noah). TENCEL/Lyocell, Supima and Lycra are composition_only. Clean zero on Gore-Tex, PrimaLoft, Polartec, Cordura, Thinsulate and Coolmax across all 408 men's PDPs. No fabric filter facet exists — all filter_ tags are silhouette-based."
