brand,domain,status,platform,feed,feed_count,notes
Levi's,levi.com,live_store,custom,sitemap_products,4351,US store at /US/en_US/. Custom stack (Adobe Scene7 media; F5 bot-defense JS in robots.txt); no Shopify/Demandware/Magento markers. Root /sitemap.xml 404s - robots.txt lists per-locale sitemaps; /US/en_US/sitemap.xml is an index of 151 files incl. 114 Product-en-US-USD-*.xml; all 114 fetched = 4351 product URLs. /products.json 404. Bot wall blanks the title for headless agents but page renders in a real browser.
Carhartt,carhartt.com,live_store,custom,sitemap_products,1024,"First-party; headless commerce backend at api-c4prd1.carhartt.com (OCC-style API, SAP Commerce pattern), not Shopify/SFCC/Magento. /sitemap.xml is an index of 4: Homepage/Product/Category/Content. Product.xml = 1024 URLs. /products.json 404. Not to be confused with carhartt-wip.com (separate European licensee)."
Lacoste,lacoste.com,live_store,salesforce_commerce,sitemap_products,7117,US storefront at lacoste.com/us/. Demandware/SFCC confirmed by demandware.static asset paths. /sitemap_index.xml -> sitemap_0-product.xml = 7117 product URLs (US locale). /products.json 404.
Mack Weldon,mackweldon.com,live_store,shopify,shopify_products_json,322,Shopify Plus; cdn.shopify.com + meta-shopify tags. (c) 2026 MACK WELDON. /products.json returns 200 and paginates at 30/page; full catalog counted from sitemap_products_1.xml = 322 products.
Charles Tyrwhitt,charlestyrwhitt.com,live_store,salesforce_commerce,sitemap_products,3233,"WRONG-DOMAIN RISK: ctshirts.com now 302-redirects to charlestyrwhitt.com/us/homepage - ctshirts.com is no longer the canonical store. (c) 2026 Charles Tyrwhitt Shirts Inc. SFCC (demandware.static). sitemap_index.xml has 10 children; 3 product sitemaps total 3233 URLs. /products.json returns the HTML homepage, not JSON."
Son of a Tailor,sonofatailor.com,live_store,custom,sitemap_products,62,"Custom Next.js storefront (made-to-measure configurator), no commerce-platform markers. Flat /sitemap.xml with 124 URLs, of which 62 are /product/* pages. /products.json 404. Small catalog by design - each product is configured, not SKU'd."
Mott & Bow,mottandbow.com,live_store,shopify,shopify_products_json,30,"Canonical host is www.mottandbow.com; myshopify handle mottandbowstore. /products.json 200, 30 products on page 1 (paginates). Sitemap index exposes sitemap_products_1.xml and _2.xml; per-file totals not counted (browser extension became unstable at the end of the run)."
J.Crew,jcrew.com,live_store,custom,sitemap_products,3608,(c) 2026 J.Crew. Custom Next.js + Builder.io CMS; no Shopify/SFCC/Magento markers. Akamai-style protection: same-origin /products.json returns 503 and /sitemap.xml 504. robots.txt points to /sitemap/sitemap-index.xml which works: 4 US product sitemaps = 3608 product URLs.
Banana Republic,bananarepublic.gap.com,live_store,custom,sitemap_products,3503,"Store lives on the Gap Inc. subdomain, not a standalone bananarepublic.com storefront. Gap's own platform (no third-party markers). /sitemap.xml 404s; robots.txt points to /native-sitemap.xml -> native-product-sitemap.xml = 3503 product URLs. /products.json 404."
Everlane,everlane.com,live_store,shopify,shopify_products_json,8922,"Shopify; (c) 2026 ALL RIGHTS RESERVED. /products.json 200 (30/page). 9 product sitemaps total 8922 URLs - inflated by multi-locale duplicates, so treat as an upper bound on distinct SKUs."
