brand,names_technology,origin,marks_found,source,note
Levi's,yes,both,Thermodapt; All Seasons Tech; Performance Cool; Levi's Flex; Levi's Ease; Levi's Sculpt; Levi's Stellar Stretch; Levi's Vintage Stretch; Tech+; Eco Ease; Levi's Flex Eco Performance; Shrink-to-Fit; Sta-Prest; Water<Less; LYCRA; TENCEL; Advanced Stretch; Comfort Stretch; Authentic Soft,census,
Carhartt,yes,house_named,Rain Defender; Storm Defender; Super Dux; Rugged Flex; Full Swing; Yukon Extremes; Wind Fighter,screen_36,
Lacoste,yes,both,Ultra Dry (house); Thermore Ecodown (licensed); COOLMAX (licensed); technical fabric; water-repellent; waterproof; ripstop,census,
Mack Weldon,yes,licensed,18-Hour Jersey; ACE; AIRKNITx; Ionic+; SILVER; Thermolite; WARMKNIT,origin_8,
Charles Tyrwhitt,yes,both,Non-Iron (house treatment); Ultimate Performance (house line); Reda (licensed Italian wool mill); Egyptian Cotton; stretch cotton weave; stain resistant; water-repellent,census,
Son of a Tailor,yes,licensed,"Supima (licensed, in marketing copy); TENCEL (licensed, named in editorial); Cotton Re:Spun (house recycled-cotton program)",census,
Mott & Bow,yes,both,"64 house fabric names in a fabric_ filter facet incl. Mercer, Driggs, Marcy, Charles, Hubert, Tabor, Ridge, Pitkin, Wooster, Soft Second Skin; TENCEL (licensed); water-repellent",census,
J.Crew,yes,both,Loro Piana (LICENSED); PrimaLoft; COOLMAX; ECONYL; TENCEL; LYCRA; Thomas Mason; Baird McNutt Irish Linen; Secret Wash (house); Seaboard soft knit (house); Broken-in (house),census,
Banana Republic,yes,both,"Core Temp; 37.5 Technology; Supima; TENCEL/Lyocell; LENZING ECOVERO; Lycra; Cupro; ""Italian Wool Ventile""",census,
Everlane,yes,,primaloft; coolmax,flag_sample,
Alex Crane,yes,licensed,Bananatex,census,
Industry of All Nations,no,none,,census,
Marine Layer,yes,both,Signature; Cloud 9; Flex Terry; Luxe Jersey; Stretch Selvage; Corbet (house). TENCEL/Lyocell; Supima; Lycra (licensed),census,
Cuts Clothing,yes,both,PYCA Pro; Enduratech; Versaknit; Tomboy-Cotton (house). Polartec; PrimaLoft (licensed),census,
Bonobos,yes,licensed,Schoeller; COOLMAX; PrimaLoft; Thinsulate; Loro Piana; Marzotto; Cone Denim / White Oak; Horween; Sebago; Lycra; TENCEL/Lyocell; Sorona; Liberty Fabric,census,
Vuori,yes,house,BlissBlend; BlissBlend Form; BreatheInterlock; DreamKnit,origin_8,
Rothy's,yes,house,ReVelvet(TM); EverDreamy Footbed(TM); In Love Insole(TM),census,
Lululemon,yes,both,ABC (Anti-Ball Crushing); Everlux; LYCRA; Luon; No-Stink Zinc; Nulu; SeaCell; Silverescent; Swift; Vitasea; Warpstreme; X-STATIC,origin_8,
Alo,yes,,Airbrush (house);Airlift (house);Alosoft (house),flag_sample,
Southern Tide,yes,both,Coastal Breeze; brrr°,screen_36,
Rhoback,yes,,FreeStride (TM) - house/proprietary fabric mark,flag_sample,
Criquet,yes,licensed,brrr°,screen_36,
Taylor Stitch,yes,,GORE-TEX; Polartec; Thinsulate; Cordura (Cone Mills Cordura denim); Schoeller; Dyneema,flag_sample,
Outerknown,no,none,,screen_36,
Patagonia,yes,both,Capilene; ECONYL; FullRange; H2No; HeiQ Pure; NetPlus; Pertex Quantum; PlumaFill; Polartec Power Grid; PrimaLoft Gold Eco; Synchilla,origin_8,
