brand,verdict,marks_found,rough_count,evidence_url,searched,notes
Kiton,confirms_none,none,0,https://us.kiton.com/products/windbreaker-polyester-ugk099k0755f04,"Kiton's own site search UNUSABLE (us.kiton.com/search and /search/suggest.json both blocked by robots.txt; direct curl blocked by egress proxy) - so this row rests on domain-restricted web search, labelled as such: site:us.kiton.com for storm system, rain system, loro piana, gore-tex, windstopper, primaloft, thermore, polartec, cordura, sympatex, thindown, schoeller, pertex, thinsulate, coolmax, dermizax, membrane, waterproof, water-repellent, technical fabric. One PDP opened (KNT Hooded Windbreaker).","No named/licensed technology found on the brand's own domain. Kiton does use unbranded descriptors heavily - 'technical fabric' appears in many product titles (e.g. TECHNICAL FABRIC HOODED JACKET, PADDED CASHMERE AND TECHNICAL FABRIC GILET) and the PDP opened says 'water-repellent nylon ... windproof, rainproof and breathable' - but no supplier is named. CORROBORATION ONLY, not a finding: eBay/Poshmark resale listings for 'Kired Kiton NWT Peak Cashmere Reversible Storm System Jacket' (Kired is a Kiton-group sub-line). Resale can be old-season and Kired is not sold on us.kiton.com, so this does not establish a current mark; flagging it as the one live Loro Piana risk on this house."
Corneliani,false_negative,primaloft,unknown,https://www.corneliani.com/en_us/identity-jacket,"Corneliani catalogsearch is robots-blocked, so: domain-restricted web search site:corneliani.com for storm system, loro piana, gore-tex, windstopper, primaloft, thermore, polartec, cordura, sympatex, pertex, thinsulate, coolmax, thindown, dermizax, rain system, membrane, waterproof, water-repellent, technical fabric; plus the en_us outerwear listing and two PDPs opened (black waterproof poplin caban; light green jacket with water-repellent inner vest).","CAVEAT ON THIS VERDICT: PrimaLoft is named on Corneliani's own Identity Jacket page - 'Primaloft, an innovative hollow fiber that guarantees a high level of insulation', as the filling of their proprietary CASHCOVER fabric - but it is a first-party brand/product-concept page for their own ID Jacket, not a shoppable PDP. I could not find any current PDP that names PrimaLoft; the PDPs I opened use only in-house terms (techno poplin, technical chiffon, hydro repellent, CashCover, ID Cover, Techwool). Called false_negative because the screened claim 'no named technology' is wrong on the brand's own site, but rough_count is genuinely unknown and may be zero shoppable SKUs right now."
Boglioli,confirms_none,none,0,https://www.bogliolimilano.com/eu_en/dark-blue-100-wool-field-jacket-with-technical-padding-oc0125-buc7071800780-man-outerwear-jacket-dark-blue,"Boglioli's OWN site search works and was used: bogliolimilano.com/en-us/search?q= for storm system (0 results), loro piana (0), gore-tex (0), primaloft (0). Corroborated with domain-restricted web search site:bogliolimilano.com for storm system, loro piana, gore-tex, primaloft, thermore, thindown, windstopper, membrane, waterproof, water-repellent, technical.","Used bogliolimilano.com only; boglioli.com was NOT used (parked domain redirecting to spam, per task). Only unbranded wording found: 'technical padding' on wool field jackets and duster coats. The site search returns a literal '0 Risultati per ...' count, so these zeroes are real zeroes rather than a broken search."
Cesare Attolini,confirms_none,none,0,https://cesareattolini.com/products/kw117f04_ah17_b31,"The e-boutique search is unusable - cesareattolini.com/search?q= returns 404 and the collection page /collections/outwear-fw also 404s (store under maintenance, as flagged in the task). So this row rests on DOMAIN-RESTRICTED WEB SEARCH, labelled as such: site:cesareattolini.com for storm system, loro piana, gore-tex, windstopper, waterproof, water-repellent, technical fabric, outerwear/cashmere/rain. One reachable PDP opened to check description style.","No named technology found on the brand's own domain; the PDP I opened lists only fibre content ('cashmere, cotton, silk and lycra') with no mill or membrane named, which matches Attolini's house style of describing cloth by fibre, not by supplier programme. CORROBORATION ONLY: an eBay listing for a 'Cesare Attolini Custom Loro Piana Zelander' jacket - a Loro Piana cloth name, licensed under the standing rule if it were current, but it is resale and Zelander is a wool, not one of the sweep terms. Evidence here is thinner than for the other houses because the store is down."
Ring Jacket,confirms_none,none,0,https://www.ringjacket.co.jp/c/ringjacketnapoli/napoli_outer,"Ring Jacket's OWN store search works and was used in Japanese and English: ringjacket.co.jp/p/search?keyword= for ロロピアーナ (0 results), LORO PIANA (0), ゴアテックス (0), 撥水 (0) - with a sanity check that the search is not simply broken (コート returns 9 products). Also browsed /c/coat, /c/blouson and /c/ringjacketnapoli/napoli_outer, plus domain-restricted web search site:ringjacket.co.jp for ゴアテックス, ロロピアーナ, gore-tex, loro piana, storm system, ストームシステム, 撥水, 防水, サーモア, プリマロフト, ウインドストッパー, テクニカル.","COVERAGE CAVEAT: the Japan-only online store is very small right now - 2 coats, the blouson category is literally empty ('現在登録されている商品はありません'), and the Napoli outer category holds 1 coat - so 'nothing found' here reflects a near-empty outerwear catalogue as much as a clean one. The only Loro Piana mention anywhere on the domain is a 2017 Tailor Ring blog post recommending a 'Loro Piana CASHMERE WISH' bespoke cloth; that is an editorial/MTM post, not a product, so under the rules it is not counted."
Patrick James,confirms_none,none,0,https://patrickjames.com/collections/patrick-james,"Patrick James' own site search (patrickjames.com/search?q=) is fuzzy and unreliable - 'storm system' returned four unrelated third-party items (34 Heritage, Johnston & Murphy, Remy) - so it was discarded and this row rests on domain-restricted web search, labelled as such: site:patrickjames.com for storm system, loro piana, primaloft, gore-tex, thinsulate, coolmax, polartec, cordura, thermore, windstopper, sympatex, pertex, schoeller, thindown, dermizax, waterproof, water-repellent, technical. Own-label products were separated using the store's own vendor collection /collections/patrick-james.","HOW OWN-LABEL WAS TOLD APART: patrickjames.com is a Shopify multi-brand store where every product title is prefixed with its vendor, and the house label has its own vendor collection at /collections/patrick-james (~195 items, plus 2 Raffi strays). I counted a mark only if the product sat in that collection. Every technology mark on the site belongs to a THIRD-PARTY vendor and was excluded: Cutter & Buck Rainier PrimaLoft Jacket and PrimaLoft Puffer Vest, Save The Duck Water-Repellent Jacket, Parajumpers Zavier Vest, Faherty Atmosphere Quilted Shirt Jacket. Patrick James / Outlander / Calder Point own-label outerwear is suede, leather, lambskin, wool, tweed and cashmere with no named technology."
Golden Goose,confirms_none,none,0,n/a (no product hits),"Own site search goldengoose.com/us/en/search?q= for gore-tex, gore, primaloft, thinsulate, waterproof, water-repellent, membrane, loro piana, technical, and a combined gore-tex/windstopper/polartec/cordura string; plus site:goldengoose.com web search","Site search verified WORKING by control term (nylon = 76 results), so the zeros are real, not a broken search. Only near-miss: q=technical returns 2 WOMEN'S items described as generic technical nylon / technical fabric (flared skirt, windcheater) - generic descriptors, no named/branded technology. Men's outerwear is leather, suede, denim, wool."
Celine,confirms_none,none,0,n/a (no product hits),"Own site search unusable - celine.com/en-us/search and all /celine-shop-men/ listing paths are ROBOTS-DISALLOWED to fetch; relied on domain-restricted web search (site:celine.com) for gore-tex, loro piana storm system, technical, waterproof, water-repellent, plus one directly-fetchable product page","Men's line only, as scoped. Restricted search surfaced men's coats/blousons that are wool gabardine, cotton/wool gabardine, cashmere, lambskin - no named technology. Only 'technical' hit on the whole domain was a WOMEN'S item (legging trousers in technical jersey, 80% polyamide/20% elastane) - generic fabric descriptor, not a branded mark, and not men's. Could open individual product pages but not listing pages."
Sacai,confirms_none,none,0,n/a (no product hits),"Own site search sacai.jp/en/search?q= (Shopify) for gore-tex, gore, windstopper, primaloft, cordura, polartec, pertex, thermore, waterproof, water repellent, membrane, technical; plus site:sacai.jp web search and the men-outerwear collection page","Site search verified WORKING by control term (nylon = 102 results), so zeros are real. Sacai names fabrics in product TITLES (Nylon Twill Blouson, Nylon Twill x Rip Stop Coat), which is exactly where a licensed mark would surface - none does. Task flagged sacai collabs as a risk; the official store currently shows no GORE-TEX/technical capsule. Sacai's Nike and North Face GORE-TEX collabs are sold on those partners' channels, not sacai.jp, so they are not sacai-sold product."
Palm Angels,unclear,none confirmed,unknown,n/a (could not open any product page),"Own site search BROKEN for me - palmangels.com/en-us/search is ROBOTS-DISALLOWED, and every individual product page returned 404/500 to the fetcher (Farfetch-platform anti-bot); relied on site:palmangels.com web search for gore-tex, primaloft, waterproof, technical, ski capsule, plus the men's coats-and-jackets listing which did render","Honest non-answer rather than a clean confirm. The men's coats/jackets listing (7 products: windbreakers, track jackets, overshirts) named no technology. BUT a SKI CAPSULE exists on the domain (ski jackets, Ski Club padded tech pants) and I could not open a single Palm Angels product description to see whether a mark is named in it - that capsule is precisely where a mark would live. Product titles alone carry no mark. Needs a re-check by someone who can render the site."
