brand,why_flagged,technical_filter,named_technology,origin,technical_titles,products_seen,source_url,notes
Herno,synthetics 3; one-thing is outerwear; summary says performance,no,"WINDSTOPPER; Loro Piana Storm System; Polartec; GORE-TEX (2L/3L, Laminar); Nylon Ultralight; Nylon Chamonix",both,49,583,https://us.herno.com/en/men/ | https://us.herno.com/en/laminar/laminar-hp.html | https://us.herno.com/en/men/outerwear/,"CORRECTED AND EXTENDED 2026-09-12 by a full census of the men's catalogue (583 pages read: 555 mainline plus 28 Laminar), replacing the first-two-pages screen of 60 products. The screen was wrong twice. (1) It found only WINDSTOPPER; the census finds LORO PIANA STORM SYSTEM on 16 products - licensed under the standing Loro Piana rule, corroborated by retailer listings of Herno x Loro Piana Storm System pieces. (2) It reported no named technology in men's Laminar; the census finds GORE-TEX named in Laminar titles (2L and 3L, 5 colourways / 3 styles), and 8 of 28 Laminar products name a technology. Full naming: Nylon Ultralight 28, WINDSTOPPER 16, Loro Piana Storm System 16, Nylon Chamonix 4, Polartec 4, GORE-TEX 4, membranated 3, Nuage 1 = 70 of 555 (12.6%), of which licensed marks 40 (7.2%) and house-style fabric names 34 (6.1%), hence origin=both. Unit caution: us.herno.com gives each colourway its own product ID, so 555 tiles = 326 styles; technical_titles=49 and products_seen=583 are colourway-level. A further 164 products (29.5%) make a performance claim with nothing named - 74 say ""membrane"" or ""membranated"" without whose, and 20 state a mm water column. No technical filter on the listing (unchanged). Laminar is a separate catalogue (cgid=men-laminar) unreachable from the men's nav."
Aspesi,synthetics 3; one-thing is outerwear; summary says performance,no,Thermore,licensed,2,27,https://aspesi.com/en-us/collections/mens-jackets-and-down-jackets | https://aspesi.com/en-us/collections/thermore-men,"base=mens_outerwear (Men's Jackets and Down Jackets, 27 items, one page). Facets: availability/product type/color/gender/materials/size, none technical. Titles counted: 3-Layer nylon jacket, Quilted techno-Wool jacket (techno counted as tech), Cotton-Polyamide twill raincoat, Armored technical jacket. The 3 PDPs I opened named no technology; Thermore comes from a dedicated Thermore Men collection in the site nav (titles like coat with thermore wadding), which is not in the main listing. Recount: 2 excludes titles whose only term is bare technical/tech/techno (4 including them). COMPLETENESS SWEEP 2026-09-12: Thermore is much bigger than the one collection the screen saw - 85 search hits, a Thermore section with a Thermore Ecodown sub-line, and the mark in product titles across the catalogue. Ecodown is a Thermore product line, not a separate supplier. No other mark on the domain: gore-tex, primaloft, loro piana, thinsulate, windstopper, sympatex and thindown all return zero on a search proven alive by the Thermore control. Site search is fuzzy in the other direction - polartec returns polo shirts, cordura returns corduroy - so those are noise, not hits."
Golden Goose,synthetics 3; outerwear priced; one-thing is outerwear,no,,none,0,46,https://www.goldengoose.com/us/en/ls/men/clothing/coats-jackets-m-en_us,"base=mens_outerwear. Facets Size/Color/Material/Features/Gender/Type/Use Type, none technical. 3 windcheater/windbreaker titles not counted (garment type, not a performance word); one PDP says only technical material with no claims. FALSE-NEGATIVE SWEEP 2026-09-12: Row confirmed. Whole-site search across 19 technology terms found nothing on the brand's own domain."
JiyongKim,one-thing is outerwear; summary says performance,no,GORE-TEX,licensed,4,59,https://intl.jiyongkim.net/category/outerwear/100/ | https://intl.jiyongkim.net/product/detail.html?product_no=1682&cate_no=100&display_group=1,"base=mens_outerwear (unisex outerwear category on intl/USD site; KR site identical list). Sort only, no facets. Titles counted: 3x Gore-Tex Draped Windbreaker (GORE-TEX 3L PRO shell) + 1 Insulated. Sun-Bleached is an unnamed sun-dyeing/finishing process, not counted as named tech. COMPLETENESS SWEEP 2026-09-12: no new mark, but the carrier count on file was low. GORE-TEX is on 5 products, not 3: the three draped windbreakers, a Gore-Tex Boonie Hat in Accessories, and a Hooded Half Zip-Up whose copy reads ""GORE-TEX contrast patches at shoulders and elbows"". The last two are outside outerwear, and the half-zip names it only in body copy, so a title-only search undercounts this brand. The hat and half-zip are plain GORE-TEX, not the 3L PRO spec on the windbreakers."
Sandro,outerwear priced; one-thing is outerwear,no,,none,3,83,https://us.sandro-paris.com/en/mens/clothing/jackets/ | https://us.sandro-paris.com/en/mens/clothing/coats/,"base=mens_outerwear; no combined outerwear listing, so screened Jackets (first 64 of 80) plus Coats (all 19). Facets Color/Size/Type only. 2 Nylon Windbreaker titles not counted. 5 PDPs checked: generic technical fabric, no named tech. FALSE-NEGATIVE SWEEP 2026-09-12: Row confirmed. Whole-site search across 19 technology terms found nothing on the brand's own domain."
Ralph Lauren Purple Label,outerwear priced; one-thing is outerwear,no,Ventile,licensed,1,29,https://www.ralphlauren.com/men-clothing-jackets-coats-vests/r/purple-label | https://www.ralphlauren.com/men-clothing-jackets-coats-vests/driver-ventile-jacket/100098567.html | https://www.ralphlauren.com/men-clothing-jackets-coats-vests/the-car-coat/100098557.html,"base=parent_site (RL jackets/coats/vests filtered to Purple Label, 29 total). Facets: type/fabric/color/size/brand/style/pattern; the Style facet has a garment-type option Windbreaker & Raincoat (1), not counted as technical. Ventile twill named on Driver Ventile Jacket and The Car Coat PDPs; Thompson Jacket PDP named none. FALSE-NEGATIVE SWEEP 2026-09-12: Nothing beyond Ventile on the whole domain under a Purple Label qualifier. One check worth recording: a sweep suggested the Ventile pieces might be Polo Ralph Lauren rather than Purple Label, so the main thread re-read product 100098567 directly - it is Purple Label, and the description names Ventile twill. Polo Ralph Lauren also sells Ventile products separately; both exist."
Criquet,outerwear priced; summary says performance,no,brrr°,licensed,0,6,https://criquetshirts.com/collections/outerwear | https://criquetshirts.com/products/brrr-long-sleeve-range-polo-navy,"base=mens_outerwear. Outerwear is just 6 colourways of one Quilted Shacket. Facets Size/Color/Sleeve/Fit/Style/Fabric(Nylon)/Use. PDP says packable only in the copy. The brand's performance range is in polos and shirts, which were not screened. FALSE-NEGATIVE SWEEP 2026-09-12: brrr° is named in Criquet product TITLES across 15+ colourways of polos and range shirts - a cooling technology, licensed from Brrr! Incorporated (the same third-party mark Southern Tide presents as its own). The screen missed it because Criquet outerwear is six colourways of one shacket and the performance range lives in polos, outside the outerwear base. origin corrected from none to licensed."
A Bathing Ape,synthetics 3; outerwear priced,no,GORE-TEX; WINDSTOPPER (GORE-TEX Labs),licensed,4,45,https://us.bape.com/collections/category-clothing-jacket/gender-men | https://en.jp.bape.com/products/1j70-140-018 | https://us.bape.com/blogs/news/bape-gore-tex-collection,"base=mens_outerwear (Jacket category, gender=men; 45 items = 3 loads of 15, last 15 via ?page=3). Facets only price/gender/category/color. Counted: Reflective, Packable, 3-Layer, 2-Layer snowboard jackets (Kazuki Kuraishi collab); PDPs name no membrane or insulation brand. FALSE-NEGATIVE SWEEP 2026-09-12: GORE-TEX is named on 12 products on BAPE's own Japanese store (en.jp.bape.com, exact site-search count) and WINDSTOPPER by GORE-TEX Labs on a US capsule; the US collection page /collections/bape-x-gore-tex currently shows 0 items because the capsule sold through, which is why a live-listing screen missed it. Sold-through capsules are a standing blind spot for this brand. origin corrected from none to licensed."
Yohji Yamamoto,one-thing is outerwear,no,"Thinsulate (Y's for men line, not Pour Homme)",licensed,1,78,https://theshopyohjiyamamoto.com/collections/60 (Category=OUTERWEAR filter; pages 1-2),"base=parent_site; Yohji Yamamoto POUR HOMME line (collection 60) on theshopyohjiyamamoto.com US/EN, filtered to OUTERWEAR (96 items). Facets are Gender/Category/Sub Category/Size/Price/Color/Material (plain fibres)/Stock, none technical. The only title hit is WOOL GABARDINE PACKABLE HOOD BLOUSON (a stowaway hood on 100% wool). Y-3 KURO pieces are mixed in (coach jacket PDP: plain nylon, no tech). Other lines on the site: Y's for men, Ground Y, S'YTE, discord, LIMI feu, MAISON FALSE-NEGATIVE SWEEP 2026-09-12: Thinsulate is named in a product title on the house's own store - NYLON TASLAN MOD COAT WITH THINSULATE - but the vendor is Y's for men, NOT main-line Pour Homme, which searched clean. Recorded as licensed with that caveat because the house sells it; the main thread should rule whether the unit is the house or the main line (the same question Herno's Laminar raises). Nearby but unnamed: S'YTE waterproof tech fabric mountain parka, Y's water-repellent trench."
Y.Chroma,one-thing is outerwear,no,Thindown,licensed,0,32,https://www.ychroma.com/collections/jackets | https://www.ychroma.com/products/quatro-jacket | https://www.ychroma.com/products/altavista-down-jacket,"base=mens_outerwear (Jackets & Outerwear, single page, 32 tiles = 10 styles; facets Color/Price/Size only). Thindown insulation on down pieces; Mazarin Cut Shell has unnamed C6 water-repellent finish; Cognac Silk(TM) is a lining name, not counted. REGISTER CITATION 2026-09-12: Thindown is USPTO Reg 5029027, cl.24/25, owned by Natural Insulation Products (NIPI) Limited, the Italian down-fabric maker - unrelated to Y.Chroma. COMPLETENESS SWEEP 2026-09-12: WINDSTOPPER is confirmed GONE, not hidden - the slug mazarin-cut-windstopper survives but the product is now Mazarin Cut Shell and its copy names only a C6 water-repellent finish. Thindown is confirmed on 4+ products. Cognac Silk is Y.Chroma's own name for a lining, not a technology, so it is not counted; OEKO-TEX and bluesign are certifications, not fabrics. The site search is fuzzy (7 hits for windstopper including a sweater), so every finding here comes from product pages."
Southern Tide,synthetics 3,yes,Coastal Breeze; brrr°,both,7,38,https://southerntide.com/collections/mens-outerwear | https://southerntide.com/products/coastal-breeze-performance-hoodie | https://southerntide.com/products/brrr-illiant-performance-hoodie,"base=mens_outerwear; Features facet (Cooling, Quick Dry, UV Protection, Water Repellent, Water Resistant, Wicking) plus Material facet (Performance, Coastal Breeze, brrr°). The listing is Men's Lightweight Outerwear, mostly quarter-zips/hoodies/vests; 38 items on 2 pages. REGISTER CHECK 2026-09-12: brrr° is NOT a Southern Tide name - USPTO Reg 5492812 (cl.18/24/25) and Reg 6572420 (cl.22/23, fibres and yarns) belong to Brrr! Incorporated, an Atlanta cooling-textile company; a 2019 release describes Southern Tide partnering with it, and southerntide.com/pages/brrr presents the ""patented technology"" without naming the owner. Licensed however presented, so origin corrected from house_named to both. Coastal Breeze is the house's own: Southern Tide, LLC, Reg 7950785, cl.25, live. A third house-presented name, Intercoastal Performance, has no registration in Southern Tide's name - unregistered, not counted here."
Sacai,synthetics 3,no,,none,0,39,https://www.sacai.jp/en/collections/men-outerwear | https://www.sacai.jp/en/collections/men-blousons-jackets,"base=mens_outerwear (sacai splits Outerwear, 3 coats, from Blousons & Jackets, 61 items; I used all 3 plus blouson pages 1-2). The en-us path redirects to /en/ with US ($) pricing. Facets: gender/product type/color/size. 3 PDPs (Nylon Twill x Rip Stop Coat, Wool Flannel x Denim Coat, Nylon Twill Blouson) show composition only. FALSE-NEGATIVE SWEEP 2026-09-12: Row confirmed. Whole-site search across 19 technology terms found nothing on the brand's own domain."
